correo,id_equipo
natalia.rojas.3001@email.com,1
gabriela.reyes.3002@email.com,1
cecilia.salazar.3003@email.com,1
antonia.godoy.3004@email.com,1
daniel.ramirez.3005@email.com,1
roberto.morales.3006@email.com,1
pedro.ramirez.3007@email.com,1
renata.martinez.3008@email.com,1
silvia.cid.3009@email.com,1
paula.lopez.3010@email.com,1
elena.diaz.3011@email.com,1
valeria.pizarro.3012@email.com,1
silvia.rojas.3013@email.com,1
emilia.navarro.3014@email.com,1
javier.leiva.3015@email.com,1
javier.vargas.3016@email.com,1
emilia.fuentes.3017@email.com,1
tomas.quiroga.3018@email.com,1
felipe.morales.3019@email.com,2
miguel.castro.3020@email.com,2
valeria.vidal.3021@email.com,2
martina.soto.3022@email.com,2
ricardo.parra.3023@email.com,2
carolina.salazar.3024@email.com,2
adriana.leiva.3025@email.com,2
macarena.nunez.3026@email.com,2
vicente.parra.3027@email.com,2
francisco.salazar.3028@email.com,2
valentina.morales.3029@email.com,2
esteban.morales.3030@email.com,2
sofia.silva.3031@email.com,2
andres.cid.3032@email.com,2
valentina.reyes.3033@email.com,2
victoria.vega.3034@email.com,2
carolina.guerra.3035@email.com,2
joaquin.martinez.3036@email.com,2
sofia.flores.3037@email.com,3
luis.fuentes.3038@email.com,3
sebastian.soto.3039@email.com,3
raul.guzman.3040@email.com,3
joaquin.tapia.3041@email.com,3
paula.navarro.3042@email.com,3
cecilia.guzman.3043@email.com,3
paula.arias.3044@email.com,3
renata.ramirez.3045@email.com,3
cecilia.morales.3046@email.com,3
daniel.herrera.3047@email.com,3
sergio.nunez.3048@email.com,3
benjamin.nunez.3049@email.com,3
natalia.paz.3050@email.com,3
maximiliano.sepulveda.3051@email.com,3
roberto.rivera.3052@email.com,3
francisco.torres.3053@email.com,3
natalia.cid.3054@email.com,3
martina.ortega.3055@email.com,4
javiera.rojas.3056@email.com,4
alejandro.vega.3057@email.com,4
victoria.ramos.3058@email.com,4
valentina.parra.3059@email.com,4
sergio.martinez.3060@email.com,4
andres.arias.3061@email.com,4
carolina.leiva.3062@email.com,4
